,debt_to_gdp,interest_burden,fragility_score
1977-07-01,32.98791,26.912250842797764,0.5
1977-10-01,33.21873,27.415712593762336,0.5
1978-01-01,33.5012,29.27671163468237,0.5
1978-04-01,32.12444,28.077487184700058,0.5
1978-07-01,32.21407,28.056067769351284,0.5
1978-10-01,31.86206,27.816170932491175,0.5
1979-01-01,31.53601,28.699063619469634,0.5
1979-04-01,31.06277,28.681619098962308,0.5
1979-07-01,30.98402,28.725387955857855,0.5
1979-10-01,31.02615,29.32430658783526,0.5
1980-01-01,30.94982,30.580586118928487,0.5
1980-04-01,31.37303,32.587488645236164,0.5
1980-07-01,31.77687,31.18476601614239,0.5
1980-10-01,31.157,30.586911437339126,0.5
1981-01-01,30.87284,32.38706593720047,0.5
1981-04-01,30.70875,32.95486057226302,0.5
1981-07-01,30.60333,33.53898229705857,0.5
1981-10-01,31.35587,36.494850116477835,0.5
1982-01-01,32.41298,39.30335604610381,0.5
1982-04-01,32.40213,39.954778565887466,0.5
1982-07-01,33.9253,42.54195347263714,0.5
1982-10-01,35.18156,42.53272862654843,0.5
1983-01-01,35.82911,43.408938162862746,0.5
1983-04-01,36.87167,42.04124338337998,0.5
1983-07-01,37.3311,45.06766032555403,0.5
1983-10-01,37.17553,45.481779658824564,0.5
1984-01-01,37.45447,45.58603491271821,0.5
1984-04-01,37.72687,46.271046582447596,0.5
1984-07-01,38.49586,48.50948774012183,0.5
1984-10-01,40.08547,48.79688168465085,0.5
1985-01-01,40.44121,45.4186603392551,0.5
1985-04-01,41.31983,51.807668188248336,0.5
1985-07-01,41.55909,47.68997514572431,0.5
1985-10-01,43.78715,48.47371658972918,0.5
1986-01-01,44.07415,49.372550150512545,0.5
1986-04-01,45.30682,49.58161724554923,0.5
1986-07-01,46.12536,48.62788548724619,0.5
1986-10-01,47.55286,46.64729793812085,0.5
1987-01-01,47.57835,47.253332889225675,0.5
1987-04-01,48.04867,42.0189394772939,0.5
1987-07-01,48.1165,43.617642216801116,0.5
1987-10-01,48.55667,43.997675301175,0.5
1988-01-01,49.03151,45.30311690432536,0.5
1988-04-01,49.08744,45.0726648571855,0.5
1988-07-01,49.25732,45.007993865341355,0.5
1988-10-01,49.71548,44.98825129306604,0.5
1989-01-01,49.73276,44.00401866237386,0.5
1989-04-01,49.8876,45.286890415682045,0.5
1989-07-01,50.17117,45.124538591998935,0.5
1989-10-01,51.38111,45.01377825689486,0.5
1990-01-01,51.96856,46.166413586611014,0.5
1990-04-01,52.7473,45.94512686591224,0.5
1990-07-01,53.75313,46.679922882574225,0.5
1990-10-01,56.03613,47.50132861362958,0.5
1991-01-01,57.41652,49.049203417488144,0.5
1991-04-01,57.74551,49.61830691093719,0.5
1991-07-01,59.06123,49.35681124968177,0.5
1991-10-01,60.68599,49.254728897843016,0.5048999285714285
1992-01-01,60.99679,48.83823597380512,0.5071199285714285
1992-04-01,61.57938,48.26721343340669,0.5112812857142858
1992-07-01,61.89802,47.86466792365947,0.5135572857142857
1992-10-01,62.52256,45.36294932517706,0.5180182857142857
1993-01-01,62.86657,47.30492070789025,0.5204755
1993-04-01,63.91524,44.89889355207935,0.5279659999999999
1993-07-01,64.10093,44.697640423885545,0.5292923571428572
1993-10-01,64.66861,41.6169513824042,0.5333472142857143
1994-01-01,64.30709,42.50543970552053,0.5307649285714285
1994-04-01,64.10716,41.27873550106319,0.529336857142857
1994-07-01,64.01176,42.06038670547396,0.5286554285714286
1994-10-01,64.38584,42.270190661236946,0.5313274285714286
1995-01-01,64.66271,42.878186235140454,0.5333050714285714
1995-04-01,65.31294,42.57104747946362,0.5379495714285714
1995-07-01,64.73906,42.83324360359449,0.5338504285714285
1995-10-01,64.18282,42.40825764302027,0.5298772857142857
1996-01-01,65.04171,40.99593720997399,0.5360122142857142
1996-04-01,64.2497,38.76125783979687,0.530355
1996-07-01,64.25469,39.092955795124915,0.5303906428571429
1996-10-01,64.44697,38.29783636878521,0.5317640714285714
1997-01-01,64.34428,37.03187929241651,0.5310305714285715
1997-04-01,63.10907,36.31722212597845,0.5222076428571428
1997-07-01,62.48709,35.55232712991347,0.5177649285714285
1997-10-01,62.77032,35.23603914520284,0.519788
1998-01-01,62.50988,34.631455037100835,0.5179277142857143
1998-04-01,61.85196,33.99389003543188,0.5132282857142857
1998-07-01,60.58693,33.02786052690677,0.5041923571428572
1998-10-01,60.40696,31.94651331356091,0.5029068571428571
1999-01-01,60.04894,30.857499919048465,0.5003495714285714
1999-04-01,59.19227,30.409281479786355,0.5
1999-07-01,58.39258,29.697888927613125,0.5
1999-10-01,58.34336,29.039270589145232,0.5
2000-01-01,57.72134,27.89321053115662,0.5
2000-04-01,55.48491,27.574566632429704,0.5
2000-07-01,54.99213,27.319862191770216,0.5
2000-10-01,54.2579,27.032686043262405,0.5
2001-01-01,55.14434,26.554880860876246,0.5
2001-04-01,54.03165,25.927469133412124,0.5
2001-07-01,54.79763,29.59621763623999,0.5
2001-10-01,55.75216,26.24871366676412,0.5
2002-01-01,55.6965,28.88788679449054,0.5
2002-04-01,56.27087,28.708471508107948,0.5
2002-07-01,56.7026,28.647227510652414,0.5
2002-10-01,57.91028,28.180849323436817,0.5
2003-01-01,57.81906,27.35792963560894,0.5
2003-04-01,58.96101,27.016499008942784,0.5
2003-07-01,58.64541,29.32106708702453,0.5
2003-10-01,59.44466,27.15142160274886,0.5
2004-01-01,59.8071,27.42534221603527,0.5
2004-04-01,60.05487,26.70299411869542,0.5003919285714286
2004-07-01,59.96643,26.439047827411212,0.5
2004-10-01,60.63713,26.78923166888939,0.5045509285714286
2005-01-01,60.91302,24.83721189748044,0.5065215714285715
2005-04-01,60.64153,25.577477538507807,0.5045823571428572
2005-07-01,60.35856,25.400044075580162,0.5025611428571428
2005-10-01,61.32008,24.9002851798301,0.5094291428571428
2006-01-01,61.55642,24.000297483650122,0.5111172857142857
2006-04-01,61.22142,24.18903545385837,0.5087244285714286
2006-07-01,61.3328,24.156975176603815,0.50952
2006-10-01,61.82689,24.64605042145272,0.5130492142857143
2007-01-01,62.25297,24.650220695381865,0.5160926428571428
2007-04-01,61.57219,25.194013183940868,0.5112299285714286
2007-07-01,61.84826,25.848932250188483,0.5132018571428572
2007-10-01,62.71924,25.819282182464786,0.5194231428571429
2008-01-01,64.17278,26.007310896148788,0.5298055714285714
2008-04-01,63.85172,25.41166663067753,0.5275122857142858
2008-07-01,67.28455,25.574477454223498,0.5520324999999999
2008-10-01,73.24515,27.4253686863834,0.5946082142857143
2009-01-01,77.10496,31.626514711216185,0.6221782857142858
2009-04-01,80.28013,31.94063479623825,0.6448580714285714
2009-07-01,82.42733,31.728364759766436,0.6601952142857143
2009-10-01,84.02935,30.93053609222573,0.6716382142857142
2010-01-01,86.51175,29.69072062991555,0.6893696428571429
2010-04-01,88.12832,29.977437192763677,0.7009165714285714
2010-07-01,89.56528,30.007909660270073,0.7111805714285715
2010-10-01,91.61134,30.118017783708197,0.7257952857142858
2011-01-01,92.95614,28.165861170322543,0.735401
2011-04-01,92.1938,28.789431719879065,0.7299557142857143
2011-07-01,94.52098,29.39561727568791,0.7465784285714285
2011-10-01,96.09072,28.752581827253614,0.7577908571428571
2012-01-01,97.12308,28.012422847680824,0.7651648571428571
2012-04-01,97.82763,27.260071923497453,0.7701973571428571
2012-07-01,98.44787,26.715447051282865,0.7746276428571428
2012-10-01,100.07497,25.568575299998344,0.7862497857142856
2013-01-01,100.73997,24.024205854969434,0.7909997857142856
2013-04-01,100.05758,23.832476825171227,0.7861255714285714
2013-07-01,98.72797,23.762799656509053,0.7766283571428572
2013-10-01,99.79118,23.823887511155156,0.7842227142857143
2014-01-01,102.34617,23.16066710133489,0.8024726428571429
2014-04-01,100.6513,23.118286913961118,0.7903664285714287
2014-07-01,100.11145,23.26396526194042,0.7865103571428571
2014-10-01,101.2805,22.880557142029417,0.7948607142857143
2015-01-01,100.49009,21.245892702267376,0.7622825250809777
2015-04-01,99.30094,20.822399638583025,0.7386638442351081
2015-07-01,98.63595,21.11307716903449,0.744295256036946
2015-10-01,102.64192,21.591713445682448,0.7900034802029445
2016-01-01,103.98904,22.292290407008842,0.8142074285714286
2016-04-01,103.58005,22.533114344031265,0.8112860714285715
2016-07-01,103.60355,22.465590642815407,0.8114539285714286
2016-10-01,104.64891,22.61738768444846,0.8189207857142857
2017-01-01,102.93741,23.705378966814354,0.8066957857142858
2017-04-01,102.08817,23.770222627348765,0.8006297857142857
2017-07-01,102.80463,23.81627724523706,0.8057473571428572
2017-10-01,102.27408,24.046961265386898,0.8019577142857143
2018-01-01,103.74395,25.53728928500279,0.8124567857142857
2018-04-01,102.98411,26.356501547604005,0.8070293571428572
2018-07-01,103.4489,27.063363826495458,0.8103492857142857
2018-10-01,105.04941,27.607487087437153,0.8217814999999999
2019-01-01,104.34017,27.872982659259694,0.8167154999999999
2019-04-01,102.92245,28.08422456115481,0.8065889285714285
2019-07-01,104.61492,27.40247167018997,0.818678
2019-10-01,105.78193,25.95677007524248,0.8270137857142857
2020-01-01,106.77007,25.196292530048176,0.8340719285714286
2020-04-01,132.66287,26.024551415902803,1.0
2020-07-01,124.14692,23.39999115610036,0.9581922857142857
2020-10-01,125.62864,22.578776052761633,0.9687760000000001
2021-01-01,124.03752,21.642538180449275,0.9446443635874742
2021-04-01,121.78582,21.19608860229234,0.9126161643675834
2021-07-01,118.54086,21.452510704909386,0.8985958108896208
2021-10-01,119.3588,21.486617230436444,0.9056563296584444
2022-01-01,120.39819,19.768280526303375,0.8517113759394062
2022-04-01,118.20207,20.93304499719062,0.8776235356139508
2022-07-01,117.43832,22.946529665416442,0.9102737142857142
2022-10-01,117.36678,25.398195818631482,0.9097627142857143
2023-01-01,115.58614,29.6971314430297,0.8970438571428572
2023-04-01,117.44355,30.919639562625424,0.9103110714285714
2023-07-01,118.13897,33.09934297616427,0.9152783571428571
2023-10-01,119.61944,34.857109836200195,0.9258531428571428
2024-01-01,120.47631,35.308508660551475,0.9319736428571428
2024-04-01,119.50314,35.61521950237157,0.9250224285714286
2024-07-01,120.17172,36.48997942432031,0.9297979999999999
2024-10-01,121.43633,36.08910224760541,0.9388309285714286
2025-01-01,120.54515,35.24935375322199,0.9324653571428572
2025-04-01,118.78171,33.599995369110815,0.9198693571428571
2025-07-01,121.02875,33.194936784545945,0.9359196428571428
2025-10-01,122.56815,33.015975224603686,0.9469153571428572
