,participation,u6,weekly_hours,part_time_econ,fragility_score
2003-10-01,66.03333333333333,10.033333333333333,33.699999999999996,934.3333333333334,0.2434722222222226
2004-01-01,66.03333333333333,9.833333333333334,33.733333333333334,884.0,0.23347222222222225
2004-04-01,66.0,9.633333333333333,33.699999999999996,998.0,0.22958333333333364
2004-07-01,65.96666666666665,9.433333333333334,33.733333333333334,1028.3333333333333,0.2206944444444448
2004-10-01,65.93333333333334,9.466666666666667,33.766666666666666,946.0,0.2205555555555555
2005-01-01,65.86666666666667,9.166666666666666,33.733333333333334,874.6666666666666,0.21402777777777743
2005-04-01,66.1,8.966666666666667,33.733333333333334,1022.6666666666666,0.19875000000000012
2005-07-01,66.13333333333333,8.9,33.733333333333334,1002.0,0.19513888888888908
2005-10-01,66.03333333333333,8.666666666666666,33.8,921.3333333333334,0.18472222222222245
2006-01-01,66.10000000000001,8.333333333333334,33.833333333333336,852.3333333333334,0.16749999999999957
2006-04-01,66.13333333333333,8.233333333333333,33.833333333333336,930.6666666666666,0.1626388888888889
2006-07-01,66.13333333333333,8.299999999999999,33.833333333333336,956.0,0.1651388888888889
2006-10-01,66.3,8.066666666666666,33.86666666666667,865.6666666666666,0.14833333333333337
2007-01-01,66.3,8.133333333333333,33.800000000000004,836.6666666666666,0.15583333333333307
2007-04-01,65.96666666666667,8.233333333333333,33.833333333333336,843.3333333333334,0.16819444444444415
2007-07-01,65.93333333333334,8.4,33.8,865.6666666666666,0.17805555555555563
2007-10-01,65.93333333333334,8.566666666666668,33.8,877.0,0.1843055555555557
2008-01-01,66.10000000000001,9.066666666666666,33.733333333333334,836.6666666666666,0.20249999999999962
2008-04-01,66.03333333333333,9.633333333333333,33.7,860.3333333333334,0.22847222222222205
2008-07-01,66.06666666666666,10.799999999999999,33.6,859.3333333333334,0.2786111111111111
2008-10-01,65.89999999999999,12.700000000000001,33.43333333333333,885.3333333333334,0.3679166666666672
2009-01-01,65.7,15.0,33.199999999999996,841.3333333333334,0.4783333333333335
2009-04-01,65.7,16.3,33.03333333333333,912.0,0.49083333333333334
2009-07-01,65.33333333333333,16.599999999999998,33.1,859.3333333333334,0.4980555555555556
2009-10-01,64.86666666666666,17.133333333333336,33.166666666666664,731.6666666666666,0.5086111111111116
2010-01-01,64.86666666666667,16.900000000000002,33.23333333333333,809.0,0.5036111111111112
2010-04-01,64.89999999999999,16.766666666666666,33.36666666666667,846.3333333333334,0.4925000000000002
2010-07-01,64.63333333333333,16.599999999999998,33.46666666666667,857.3333333333334,0.49388888888888904
2010-10-01,64.43333333333334,16.7,33.53333333333333,769.6666666666666,0.4955555555555556
2011-01-01,64.16666666666667,16.033333333333335,33.46666666666667,830.6666666666666,0.5094444444444441
2011-04-01,64.10000000000001,16.033333333333335,33.6,851.6666666666666,0.5016666666666663
2011-07-01,64.10000000000001,16.133333333333333,33.6,861.6666666666666,0.5016666666666663
2011-10-01,64.06666666666666,15.533333333333333,33.666666666666664,840.0,0.4977777777777781
2012-01-01,63.76666666666667,14.9,33.733333333333334,777.0,0.4990277777777775
2012-04-01,63.73333333333333,14.733333333333334,33.666666666666664,822.3333333333334,0.49888888888888927
2012-07-01,63.6,14.700000000000001,33.666666666666664,786.3333333333334,0.5020833333333334
2012-10-01,63.699999999999996,14.4,33.666666666666664,734.0,0.4875000000000004
2013-01-01,63.46666666666667,14.233333333333334,33.699999999999996,730.0,0.48652777777777806
2013-04-01,63.4,14.033333333333333,33.666666666666664,816.6666666666666,0.48375000000000024
2013-07-01,63.26666666666667,13.633333333333333,33.6,844.0,0.47819444444444403
2013-10-01,62.9,13.266666666666666,33.6,765.3333333333334,0.47666666666666657
2014-01-01,62.96666666666667,12.633333333333333,33.53333333333333,726.3333333333334,0.4556944444444445
2014-04-01,62.833333333333336,12.200000000000001,33.7,769.6666666666666,0.4313888888888886
2014-07-01,62.86666666666667,11.933333333333332,33.7,764.3333333333334,0.42027777777777753
2014-10-01,62.86666666666667,11.366666666666667,33.766666666666666,764.3333333333334,0.39402777777777787
2015-01-01,62.73333333333333,11.0,33.733333333333334,830.3333333333334,0.3872222222222223
2015-04-01,62.800000000000004,10.733333333333334,33.6,872.3333333333334,0.3849999999999998
2015-07-01,62.53333333333333,10.166666666666666,33.733333333333334,881.3333333333334,0.3626388888888888
2015-10-01,62.56666666666666,9.9,33.733333333333334,790.3333333333334,0.35152777777777783
2016-01-01,62.833333333333336,9.700000000000001,33.63333333333333,860.6666666666666,0.3426388888888889
2016-04-01,62.76666666666667,9.766666666666667,33.6,884.3333333333334,0.3498611111111108
