,d1_Wage-Produ,d2_Consumer B,d3_Fiscal Sus,d4_Labour Mar,d5_Trade Arch,d6_Monetary C,CFI,CFI_normalised
2015-10-01,0.6803350115312787,0.1166304649726362,0.7900034802029445,0.35152777777777783,0.10294429198810368,0.5199682596981503,9.409357290006147,0.09090332260288908
2016-01-01,0.685467699689599,0.11278374752601406,0.8142074285714286,0.3426388888888889,0.08074638089770597,0.5848642132489108,9.738549991076848,0.09446182407594571
2016-04-01,0.6932109388143077,0.11136718557873887,0.8112860714285715,0.3498611111111108,0.08612178357216543,0.5422518912605984,9.550466175555226,0.092428678953302
2016-07-01,0.698359272331233,0.09432829982526256,0.8114539285714286,0.3440277777777775,0.09143806498156037,0.5298065339158288,9.317815172309825,0.08991377222826177
2016-10-01,0.7017083642324473,0.07644525055206368,0.8189207857142857,0.3397222222222222,0.10058599178600125,0.5096719162194386,9.095909078982404,0.08751501564156493
2017-01-01,0.6998559401021247,0.10730621949024423,0.8066957857142858,0.32027777777777755,0.27362399668729814,0.46762100800476814,10.26633661275242,0.10016708262081465
2017-04-01,0.693040166137027,0.07246166771167613,0.8006297857142857,0.29527777777777797,0.22013820548928736,0.4767535815188063,9.263749751085799,0.08932933678834659
2017-07-01,0.6931517979010626,0.07286213458476397,0.8057473571428572,0.29194444444444445,0.19946063891313207,0.47284620768201363,9.08309241167448,0.08737647025660779
2017-10-01,0.6960404010537156,0.07488860282448025,0.8019577142857143,0.2783333333333329,0.26609719587073816,0.48976606401994977,9.617347961566079,0.0931516565079871
2018-01-01,0.7046693450552084,0.11831833758982807,0.8124567857142857,0.2740277777777781,0.27990443280059935,0.5405157259779076,10.67553897361288,0.10459047110775276
2018-04-01,0.7050899513464435,0.13628062966291013,0.8070293571428572,0.25930555555555546,0.32177396919371987,0.5150211535973296,10.836186690069477,0.10632703796903077
2018-07-01,0.7013080566537561,0.13295612918026364,0.8103492857142857,0.2524999999999998,0.3518912775167674,0.49309860750047374,10.785826535622993,0.10578265565679147
2018-10-01,0.6995884125772274,0.13832637677472087,0.8217814999999999,0.2543055555555552,0.252056999599457,0.5637769945697843,10.68471760039343,0.1046896900661713
2019-01-01,0.6804304299320811,0.10031003258955182,0.8167154999999999,0.24861111111111156,0.14205874817625505,0.5073457605105289,8.79493069719685,0.08426150482112889
2019-04-01,0.700998062021484,0.06469065406309536,0.8065889285714285,0.24791666666666676,0.2245450109320225,0.48658637996629356,8.973333655667698,0.08619000198540784
2019-07-01,0.7223870171973634,0.0672971070078611,0.818678,0.23638888888888865,0.18309934222738472,0.5154066431369575,8.972931360907262,0.08618565326657854
2019-10-01,0.7212523287301756,0.06870001244224529,0.8270137857142857,0.2308333333333334,0.1644755208120937,0.5232755079587945,8.890255654376283,0.08529194686750105
2020-01-01,0.6852312048469131,0.05166603560322125,0.8340719285714286,0.261111111111111,0.1296308791222972,0.7313485570907519,9.931804835567874,0.0965508668966398
2020-04-01,0.6567689077097032,0.019612886301294517,1.0,0.5916666666666665,0.3299861167547068,0.8462661630981472,17.008923702618464,0.17305298201488356
2020-07-01,0.7211083159863938,0.021450017465777474,0.9581922857142857,0.533472222222222,0.18334192892978743,0.7557329100618837,13.952417529500197,0.14001281531595042
2020-10-01,0.681214778757121,0.022959356519008066,0.9687760000000001,0.42236111111111113,0.19224331387831997,0.7383242954829258,12.564083863798073,0.1250052304623784
2021-01-01,0.7067403162982044,0.010070549889304116,0.9446443635874742,0.3918055555555554,0.4107184612720559,0.6696629920411061,13.664812972460368,0.13690387263114823
2021-04-01,0.7149504662361765,0.020251395189434866,0.9126161643675834,0.34138888888888896,0.752064986241626,0.6004027889351365,15.479790356963173,0.15652338325611367
2021-07-01,0.7100325763181764,0.04335623388831729,0.8985958108896208,0.3005555555555557,0.736057488812055,0.6444325915464123,15.529323018530448,0.15705882055037407
2021-10-01,0.7287770615912299,0.05628324419054635,0.9056563296584444,0.25749999999999984,0.7753837866953945,0.6722468323694172,16.044089681510293,0.16262333617461572
2022-01-01,0.7358077398518951,0.06902434641332643,0.8517113759394062,0.23041666666666627,0.7933142559833506,0.7956424311106597,16.953703714586826,0.17245606595898794
2022-04-01,0.7582617283197562,0.17802050584516121,0.8776235356139508,0.22888888888888886,0.7895001255965834,0.829964643232819,19.887902390260436,0.2041741152221241
2022-07-01,0.752718562489566,0.18067457677201498,0.9102737142857142,0.23500000000000015,0.6601057351543922,0.763990007864602,18.105854638158274,0.18491056675860318
2022-10-01,0.773794382605904,0.2057883397211111,0.9097627142857143,0.24250000000000027,0.5663517148223322,0.695762695055949,17.042603009938325,0.17341704799909113
2023-01-01,0.778750976063393,0.1800656493205286,0.8970438571428572,0.23000000000000026,0.32656689009156215,0.5934373175974956,12.886440244167902,0.12848983279610046
2023-04-01,0.7808544633552764,0.1784732419880907,0.9103110714285714,0.2366666666666668,0.22049464063635132,0.5185705469099483,11.353287565706825,0.11191678592422367
2023-07-01,0.7890759113529853,0.19697718822343438,0.9152783571428571,0.23333333333333367,0.1827890085331166,0.47994531333184337,10.913595274740082,0.1071638079268143
2023-10-01,0.7946146836722082,0.20968820359568108,0.9258531428571428,0.24305555555555564,0.20309056124019553,0.4573059624779419,11.233987438993339,0.110627177511689
2024-01-01,0.7883748741820763,0.19230140805395557,0.9319736428571428,0.2516666666666671,0.22873922393409177,0.4315985747916158,11.132419948331952,0.109529255036623
2024-04-01,0.7942780397999255,0.200011045929824,0.9250224285714286,0.2566666666666666,0.35040764501960747,0.43354321276682817,12.39752329158854,0.12320474691692614
2024-07-01,0.7953128419967577,0.20133101756370483,0.9297979999999999,0.26958333333333273,0.277783800476425,0.43812012032835224,11.968155691550193,0.11856337658201371
2024-10-01,0.7958838800406162,0.20708503719746182,0.9388309285714286,0.27361111111111086,0.3139163729005761,0.45218368979205126,12.63062954924166,0.12572457484305988
2025-01-01,0.7840066121755321,0.2062852881385711,0.9324653571428572,0.28138888888888897,0.30817889077944227,0.4627595100419766,12.635577879505743,0.12577806521656038
2025-04-01,0.8003630946373792,0.20742029298266573,0.9198693571428571,0.2834722222222221,0.21391392535784265,0.49582988796871497,12.102849797303127,0.12001939055855362
2025-07-01,0.8076790153304804,0.21221022789546012,0.9359196428571428,0.2918055555555552,0.2325774334405397,0.41010759450311324,11.744096374199037,0.11614134411211727
2025-10-01,0.8011740904002075,0.21014947785543794,0.9469153571428572,0.3047916666666665,0.20700870895561008,0.4480905247673579,12.012255031822667,0.11904008085525554
2026-01-01,0.8011740904002075,0.20484788273867416,0.9469153571428572,0.29416666666666685,0.27356756119822706,0.48955326704014424,12.918039004947707,0.1288314085248939
2026-04-01,0.8011740904002075,0.21105508663887088,0.9469153571428572,0.29416666666666685,0.27356756119822706,0.501225901946295,13.115779412388543,0.13096893930510978
